"SRR1071717"	"SRR1099957"	"SRR1093930"	"SRR1084917"	"SRR1081765"	"SRR1079830"	"SRR1086236"	"SRR1097296"	"SRR1120296"	"SRR1092208"	"SRR1085402"
"ENSG00000005812.10"	2190	2664	2374	1708	2049	2697	2216	1930	1583	1783	1432
"ENSG00000005844.17"	12	528	647	481	272	58	24	101	1314	23	214
"ENSG00000005882.11"	2553	1893	1673	1181	1919	3495	2587	1515	1110	2648	1196
"ENSG00000005884.17"	2101	9406	6372	5625	3989	4202	1772	1481	5631	2281	7658
"ENSG00000005889.15"	1462	1418	1305	854	1031	1948	2062	1607	1051	1724	575
"ENSG00000005893.15"	1889	3345	2722	2149	2874	3049	2702	2216	1963	2099	2544
"ENSG00000005961.17"	22	37	46	42	26	7	27	11	33	2	98
"ENSG00000005981.12"	2	20	17	15	9	2	8	3	12	1	18
"ENSG00000006007.11"	3175	2888	1631	1596	2272	4468	2988	2296	1281	4576	1659
"ENSG00000006015.17"	1069	1103	1236	732	834	1226	850	738	1126	985	789
"ENSG00000006016.10"	280	239	616	91	389	234	121	500	151	667	299
"ENSG00000006025.11"	663	1593	2111	1610	852	783	569	575	1439	481	1310
"ENSG00000006042.11"	357	1614	1842	1563	892	914	879	886	920	332	979
"ENSG00000006047.12"	136	28	31	30	86	53	117	62	17	219	37
"ENSG00000006059.3"	0	4	2	0	1	0	0	1	8	0	13
"ENSG00000006062.13"	941	709	755	785	1572	1164	779	1699	662	909	551
"ENSG00000006071.12"	57	18	36	25	21	8	36	18	22	118	19
"ENSG00000006116.3"	0	0	1	0	0	0	0	3	0	0	0
"ENSG00000006118.14"	112	138	138	199	191	177	153	232	173	125	699
"ENSG00000006125.16"	4010	6976	6335	4410	5345	6324	6102	5336	4851	5354	4363
"ENSG00000006128.11"	15	19	40	19	17	15	2	9	35	3	77
"ENSG00000006194.9"	1321	1528	1298	1033	1022	1317	1048	1465	1149	1343	795
"ENSG00000006210.6"	3067	1101	991	1105	1396	3187	2102	1803	1217	3451	608
"ENSG00000006282.20"	2554	4295	4259	3282	1567	3141	2559	1268	3180	3099	3517
"ENSG00000006283.17"	17	14	12	22	7	3	3	13	23	7	24
"ENSG00000006327.13"	827	300	230	167	120	224	1349	162	114	167	413
"ENSG00000006377.10"	2	17	5	90	22	3	3	4	93	3	56
"ENSG00000006432.15"	25	471	150	324	87	51	36	16	235	12	302
"ENSG00000006451.7"	878	860	827	625	734	1178	899	804	653	1004	781
"ENSG00000006453.13"	180	2310	1938	1916	909	356	294	136	1457	135	1620
"ENSG00000006459.10"	990	1683	1414	1273	1629	1109	1199	1117	890	803	722
"ENSG00000006468.13"	62	146	192	104	119	170	113	79	300	65	175
"ENSG00000006530.15"	738	1014	1061	886	771	933	607	568	860	708	828
"ENSG00000006534.15"	523	1070	1159	867	857	856	738	419	1148	985	1522
"ENSG00000006555.10"	29	453	571	704	185	74	29	18	616	15	489
"ENSG00000006576.16"	610	1039	925	833	691	725	718	471	790	536	932
"ENSG00000006606.8"	37	5	22	4	22	4	18	9	2	27	10
"ENSG00000006607.13"	913	2117	1851	1684	1381	1117	1020	1124	1908	1005	1423
"ENSG00000006611.15"	361	8	6	17	8	24	60	9	8	47	5
"ENSG00000006625.17"	452	631	521	535	620	793	464	992	463	526	673
"ENSG00000006634.7"	127	221	157	205	121	119	83	142	115	75	123
"ENSG00000006638.11"	117	111	103	33	93	233	153	51	55	410	70
"ENSG00000006652.13"	1688	1536	1304	870	1127	1797	3131	1295	886	1954	972
"ENSG00000006659.12"	0	0	0	0	1	0	0	1	0	0	0
"ENSG00000006695.10"	526	595	448	342	399	636	473	506	371	755	373
"ENSG00000006704.10"	1379	1579	1285	1121	1126	1573	1812	1401	922	1561	1010
"ENSG00000006712.14"	1812	1929	1691	1223	1492	2129	2282	1735	1453	2246	1256
"ENSG00000006715.15"	1397	2006	1752	1250	1574	1872	1403	1134	1380	1636	1548
"ENSG00000006740.16"	385	413	375	511	538	631	540	398	333	375	316
"ENSG00000006744.18"	2391	2383	1883	1364	2451	2668	3101	2067	1581	2561	1519
"ENSG00000006747.14"	51	1070	731	1980	433	118	117	37	926	48	1440
"ENSG00000006756.15"	1561	2409	2593	2167	1482	1291	1067	896	3051	1260	2571
"ENSG00000006757.11"	229	278	374	226	210	275	201	211	287	213	296
"ENSG00000006788.12"	5	17	39	3	7	7	2	10	7	4	1
"ENSG00000006831.9"	2105	2282	1659	1507	1828	1953	2128	2362	1128	1806	1089
"ENSG00000006837.11"	65	74	70	47	70	95	70	62	61	97	40
"ENSG00000007001.12"	1	6	2	2	1	1	2	2	5	0	2
"ENSG00000007038.10"	1	12	75	24	12	1	3	8	19	0	18
"ENSG00000007047.14"	2295	1658	1152	857	1269	2129	2584	1531	1057	2412	1144
"ENSG00000007062.11"	101	481	634	727	269	371	162	59	529	257	519
"ENSG00000007080.10"	1427	1111	1014	660	1180	2125	1298	1642	766	2300	810
"ENSG00000007129.17"	7	24	30	19	7	18	5	18	37	7	4
"ENSG00000007168.12"	5463	5505	4652	3302	4428	5805	5843	4418	3474	5585	2964
"ENSG00000007171.16"	57	23	25	42	7	10	25	5	231	27	4
"ENSG00000007174.17"	16	26	22	9	33	28	29	31	18	13	26
"ENSG00000007202.14"	3735	6624	2880	2725	4117	5496	4339	4602	2438	5950	1629
"ENSG00000007216.14"	0	4	7	10	5	1	0	1	3	1	1
"ENSG00000007237.18"	2658	1359	1990	988	2105	2657	2607	2125	1130	2741	947
"ENSG00000007255.10"	282	469	556	421	275	225	260	226	500	285	452
"ENSG00000007264.14"	6	32	66	18	30	29	14	21	110	11	31
"ENSG00000007306.14"	17	10	5	8	11	19	18	7	20	8	1
"ENSG00000007312.12"	43	69	130	144	75	58	46	142	202	39	85
"ENSG00000007314.11"	146	39	127	22	109	39	82	154	37	21	32
"ENSG00000007341.18"	564	612	688	477	460	627	535	495	464	541	361
"ENSG00000007350.16"	3	3	4	4	3	5	7	5	6	2	4
"ENSG00000007372.20"	69	80	59	50	50	82	37	74	28	36	23
"ENSG00000007376.7"	539	644	522	456	445	774	557	477	457	676	478
"ENSG00000007384.15"	1803	3763	3758	2806	2052	2213	2669	1257	2296	2206	2585
"ENSG00000007392.16"	2108	3391	3401	3021	1796	2011	2385	1670	2106	1829	2016
"ENSG00000007402.11"	89	298	244	162	226	250	169	127	218	155	155
"ENSG00000007516.13"	221	1395	1295	646	502	311	247	198	1022	368	935
"ENSG00000007520.3"	1280	1227	1090	705	1007	1570	1267	937	941	2250	871
"ENSG00000007541.16"	1425	1793	1906	1436	1407	2202	1371	1413	1465	1705	1495
"ENSG00000007545.15"	1547	3068	2108	1827	1717	1992	1681	1942	1484	1488	1361
"ENSG00000007866.18"	6840	4618	3674	2426	4873	7053	7038	6798	2887	7763	2760
"ENSG00000007908.15"	55	59	22	54	51	82	25	163	17	45	82
"ENSG00000007923.15"	1526	1885	1560	1226	1443	1821	1452	1590	1316	1926	1292
"ENSG00000007933.12"	15	36	47	14	26	117	56	26	16	28	12
"ENSG00000007944.14"	1131	2206	1861	1553	1427	2368	1299	786	1479	1468	1062
"ENSG00000007952.17"	7	39	25	124	21	13	9	3	36	7	8
"ENSG00000007968.6"	4	8	17	55	11	8	12	2	15	8	48
"ENSG00000008018.8"	2563	2937	2597	1881	2445	3140	2554	2847	1981	3585	1819
"ENSG00000008056.12"	15	35	62	19	195	52	15	86	19	49	32
"ENSG00000008083.13"	501	899	720	696	581	590	555	438	677	458	620
"ENSG00000008086.11"	674	1209	1124	970	626	756	612	326	1172	452	1210
"ENSG00000008118.9"	3	7	2	8	9	6	2	2	2	0	23
"ENSG00000008128.22"	1756	2654	2113	1715	1934	698	2359	1907	1706	2488	1535
"ENSG00000008130.15"	1752	3342	2784	2361	2413	2287	2535	2605	1840	2213	1689
"ENSG00000008196.12"	16	4	10	15	15	1	22	5	1	8	3
"ENSG00000008197.4"	0	1	2	0	1	1	0	2	0	0	0
"ENSG00000008226.19"	313	751	978	681	530	566	279	338	811	319	861
"ENSG00000008256.15"	1170	1342	1333	855	1232	1644	1418	1124	803	1501	871
"ENSG00000008277.14"	102	453	669	543	284	250	150	80	780	102	672
"ENSG00000008282.8"	3761	7317	5473	5076	4503	4903	3654	2876	4866	3901	5132
"ENSG00000008283.15"	460	1618	1628	1526	771	835	383	567	1594	738	1729
"ENSG00000008294.20"	5389	4869	3518	2243	3878	5379	6462	4439	2814	5441	2382
"ENSG00000008300.15"	93	103	129	93	110	131	98	112	86	138	74
"ENSG00000008311.14"	1747	1922	1625	1228	1570	1376	1589	1868	1020	840	922
