"SRR1071359"	"SRR1083776"	"SRR811938"	"SRR1082520"	"SRR1074140"	"SRR1076584"	"SRR1101693"
"ENSG00000023318.7"	1368	1482	2506	1428	1258	1739	1622
"ENSG00000023330.14"	603	637	1097	763	630	647	640
"ENSG00000023445.13"	282	562	710	466	416	594	1309
"ENSG00000023516.8"	2449	2398	3591	2462	2513	2239	1580
"ENSG00000023572.8"	48	79	150	88	97	111	130
"ENSG00000023608.4"	389	185	358	294	211	407	377
"ENSG00000023697.12"	374	566	832	518	427	359	517
"ENSG00000023734.10"	1329	3107	3652	2547	2286	1735	2749
"ENSG00000023839.10"	74	93	157	83	110	76	159
"ENSG00000023892.10"	455	242	288	275	210	264	266
"ENSG00000023902.13"	926	4304	4325	2530	5408	1278	2037
"ENSG00000023909.9"	1398	279	408	390	244	620	573
"ENSG00000024048.10"	1986	1690	3265	2282	1971	1793	1288
"ENSG00000024422.11"	2220	9076	12812	8354	6459	3820	9518
"ENSG00000024526.16"	5	1	10	2	4	10	15
"ENSG00000024862.17"	1113	242	976	581	397	385	222
"ENSG00000025039.14"	1409	149	407	241	129	603	130
"ENSG00000025156.12"	823	670	1071	651	702	680	378
"ENSG00000025293.16"	834	1577	2821	1446	1771	805	1090
"ENSG00000025423.11"	122	367	1243	169	108	95	206
"ENSG00000025434.18"	1109	775	1428	1265	901	1077	731
"ENSG00000025708.13"	23851	2199	1093	1331	1234	8879	4372
"ENSG00000025770.18"	1259	1685	2060	1580	1569	1103	951
"ENSG00000025772.7"	2490	531	844	527	526	1053	547
"ENSG00000025796.13"	2248	3586	5739	3424	3027	2642	2710
"ENSG00000025800.13"	1998	2921	4590	2421	3197	2216	1942
"ENSG00000026025.14"	30430	44133	140422	80405	40989	32249	59230
"ENSG00000026036.21"	1906	3109	4531	2192	2510	2408	2259
