	T1	T2	smtsd	lib_size
SRR1500450	7.418907	33.025787	Adipose - Subcutaneous	171287.30219461865
SRR660614	15.724157	37.73845	Adipose - Subcutaneous	165853.46645911117
SRR1310275	15.639432	30.345531	Adipose - Subcutaneous	174544.29741824634
SRR1498931	6.186828	34.01794	Adipose - Subcutaneous	171296.79991252272
SRR614119	-29.683279	15.058041	Adipose - Subcutaneous	146883.33761841131
SRR1318879	14.96569	35.923206	Adipose - Subcutaneous	168911.66973124683
SRR1437390	8.406203	35.140438	Adipose - Subcutaneous	170245.69554499126
SRR615237	-29.395851	15.66624	Adipose - Subcutaneous	153538.1295980432
SRR1489199	13.099048	33.62708	Adipose - Subcutaneous	170825.74289154974
SRR1376939	12.441166	22.817032	Adipose - Subcutaneous	181540.27228006988
SRR1407250	10.518479	34.09748	Adipose - Subcutaneous	172980.42869023533
SRR1441159	8.715414	36.052803	Adipose - Subcutaneous	171317.26726086618
SRR664795	8.058095	18.626848	Adipose - Subcutaneous	198563.7835141617
SRR615946	-38.812748	10.0282135	Adipose - Subcutaneous	118270.2330308104
SRR1420067	10.120022	34.672646	Adipose - Subcutaneous	171738.49278334415
SRR1097013	9.240598	23.284477	Adipose - Subcutaneous	182546.18838590477
SRR1454909	16.954105	30.362474	Adipose - Subcutaneous	172473.1221549921
SRR808019	8.095986	22.287905	Adipose - Subcutaneous	187585.64218890376
SRR816316	9.470024	21.935444	Adipose - Subcutaneous	187148.55713897638
SRR1315225	6.087612	24.744656	Adipose - Subcutaneous	188128.17370785732
SRR1317410	7.2612906	31.005854	Adipose - Subcutaneous	177580.18641944655
SRR1485740	9.156118	31.37509	Adipose - Subcutaneous	174108.03357379982
SRR1401211	7.692296	28.593216	Adipose - Subcutaneous	182878.61944031063
SRR1078489	13.816044	27.009842	Adipose - Subcutaneous	171208.61479516007
SRR1416313	17.848804	29.427143	Adipose - Subcutaneous	173054.62683699126
SRR608150	11.371487	26.833324	Adipose - Subcutaneous	179956.1863872474
SRR661108	18.253595	37.69508	Adipose - Subcutaneous	160014.10317478928
SRR1473714	-14.099392	65.601074	Adipose - Subcutaneous	179299.96448779694
SRR1400847	6.6656275	30.448557	Adipose - Subcutaneous	175331.94744800442
SRR1454739	9.31096	27.102783	Adipose - Subcutaneous	180768.0891847544
SRR1311266	8.536493	30.576569	Adipose - Subcutaneous	176945.46858399623
SRR1090407	16.199734	31.140875	Adipose - Subcutaneous	173115.33819364553
SRR1101643	0.102364525	71.02633	Adipose - Subcutaneous	187557.9050247507
SRR660462	16.798893	28.68054	Adipose - Subcutaneous	175033.16692068696
SRR1353199	17.745703	36.206467	Adipose - Subcutaneous	163592.51161010377
SRR1327834	19.120665	30.0561	Adipose - Subcutaneous	171347.81055880437
SRR1485613	8.236039	30.865625	Adipose - Subcutaneous	175559.71536791
SRR1488449	12.694034	23.507883	Adipose - Subcutaneous	181575.56174552266
SRR613390	17.399675	39.27065	Adipose - Subcutaneous	164315.15449939092
SRR1420873	6.646956	22.132767	Adipose - Subcutaneous	187088.85353801993
SRR1445637	11.882853	35.65204	Adipose - Subcutaneous	171873.65543640588
SRR1400202	6.4218974	24.337973	Adipose - Subcutaneous	183667.11077285593
SRR660764	-29.761038	13.98706	Adipose - Subcutaneous	138521.3439457863
SRR1399797	13.756722	23.494001	Adipose - Subcutaneous	179736.4561075758
SRR809018	10.965706	20.330353	Adipose - Subcutaneous	186174.96745389386
SRR662103	17.65663	39.662766	Adipose - Subcutaneous	164442.13443614534
SRR1312501	13.34229	23.61018	Adipose - Subcutaneous	179547.51661091068
SRR1468722	16.92722	28.837494	Adipose - Subcutaneous	172989.2968133546
SRR1310584	6.4734573	31.780783	Adipose - Subcutaneous	176670.86084404352
SRR1400974	19.475332	29.709805	Adipose - Subcutaneous	171595.99423387
SRR614395	14.371129	30.832207	Adipose - Subcutaneous	175756.51367781428
SRR1486889	7.8941483	26.878286	Adipose - Subcutaneous	177813.49608428817
