run	sample	read_count_as_reported_by_sra	reads_downloaded	proportion_of_reads_reported_by_sra_downloaded	mapped_read_count	auc	avg_read_length	sampid	smrin	smts	smtsd	smntrart	smmaprt	smexncrt	smgnsdtc	smmncpb	smestlbs	smmppd	smnterrt	smrrnanm	smrdttl	smvqcfl	smtrscpt	smexpeff	smrrnart
SRR1403934	SRS638067	113898492	113898492	1	111656003	8438247741	152	GTEX-ZYWO-1126-SM-5U3SH	7.8	Esophagus	Esophagus - Gastroesophageal Junction	0.981315	0.95500606	0.89001584	24545	82.87203	90753236	99814960	0.01841247	881292	104517614	9380878	142755	0.8499706	0.008431995
SRR1330831	SRS627071	113135646	113135646	1	108131740	8146364653	152	GTEX-ZQG8-2426-SM-57WEE	8.2	Colon	Colon - Sigmoid	0.97787476	0.9235578	0.8881526	25230	68.337975	71101500	90723908	0.021899972	1211802	98233052	14902594	145759	0.8202603	0.01233599
SRR1081961	SRS524773	111223800	107907958	0.970187657678	104847337	7912596122	147	GTEX-TKQ1-1226-SM-4GICJ	5.8	Blood Vessel	Artery - Tibial	0.97674954	0.9339535	0.8990292	24386	48.8936	29507302	91961607	0.02295285	960327	98464867	9443091	141409	0.83965147	0.009752992
SRR813043	SRS408391	110313660	110313660	1	94086299	6828268694	152	GTEX-WHSB-0326-SM-3LK6K	8.4	Lung	Lung	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR815140	SRS408499	110130878	110130878	1	105131771	7923355860	152	GTEX-T6MN-1226-SM-3NMA5	6.7	Liver	Liver	0.9764308	0.91609687	0.8694342	24527	40.593815	26279652	84366348	0.02347354	2151114	92093262	18037616	140080	0.79648596	0.023357995
SRR1349562	SRS629391	109869458	109869458	1	108287509	8178437228	152	GTEX-11NUK-1226-SM-5P9GM	6.1	Liver	Liver	0.9758929	0.9369996	0.84748507	24028	54.94638	37593859	99617479	0.024036907	2334260	106315392	3554066	137178	0.7940932	0.021955993
SRR656874	SRS389309	109530656	109530656	1	99513596	7438356108	152	GTEX-WFON-0426-SM-3GIL4	8.4	Lung	Lung	0.9757052	0.8059523	0.85073906	25989	53.12325	55598362	80745830	0.02405739	827343	100186862	9343794	147595	0.68565506	0.008257999
SRR818057	SRS408688	109374148	109374148	1	105635302	7966538144	152	GTEX-X261-0011-R5A-SM-3NMB4	6.6	Brain	Brain - Caudate (basal ganglia)	0.9672988	0.92545116	0.9016088	25148	42.565643	26027943	90274090	0.03253949	10172685	97546028	11828120	144611	0.83439493	0.10428599
SRR816969	SRS408618	109237520	109237520	1	103784781	7834883322	152	GTEX-PLZ6-1126-SM-3P5ZR	7.3	Prostate	Prostate	0.9661982	0.9096996	0.812286	27453	61.40265	70778055	87663545	0.033622585	1162359	96365378	12872142	151181	0.73893625	0.012061998
SRR1381693	SRS634869	109208494	109208494	1	106436803	8041522481	152	GTEX-13VXT-1126-SM-5LU3A	8.6	Heart	Heart - Left Ventricle	0.9880071	0.94773257	0.93196183	22608	56.93581	30078949	92509736	0.011796899	2105190	97611646	11596848	136007	0.8832506	0.021566996
SRR1335338	SRS627439	109174248	109174248	1	106737307	8039180494	152	GTEX-13O1R-0726-SM-5IJEI	6	Testis	Testis	0.9401912	0.9065555	0.7885865	35192	70.25382	116723063	93156838	0.059605125	1514874	102759118	6415130	167713	0.71489733	0.014741991
SRR659037	SRS389640	108795752	108795752	1	94690533	6921647768	152	GTEX-UPK5-1126-SM-3GAEJ	7.6	Lung	Lung	0.9737192	0.7711564	0.83429563	26057	32.70495	20564169	77628604	0.02607093	862398	100665196	8130556	147578	0.64337236	0.008566992
SRR1355396	SRS629701	108720164	108720164	1	105831234	7994300237	152	GTEX-13FHP-0526-SM-5K7UY	6.9	Muscle	Muscle - Skeletal	0.9855877	0.9288372	0.9296913	22651	73.5475	46319977	94451152	0.014190108	1393424	101687524	7032640	134619	0.8635319	0.013702999
SRR808220	SRS408138	108711060	108711060	1	103619154	7807495897	152	GTEX-OXRK-0008-SM-3NB28	9.8	Skin	Cells - Transformed fibroblasts	0.9549958	0.9060396	0.8934132	23007	72.04561	54854179	83863961	0.044703268	3902650	92561034	16150026	135896	0.80946773	0.042162992
SRR1341480	SRS627923	108654000	108654000	1	106482212	8042223633	152	GTEX-13U4I-1726-SM-5J1MF	8.6	Adipose Tissue	Adipose - Visceral (Omentum)	0.9815622	0.9264195	0.8721199	26298	76.30875	103065643	95569338	0.01813089	551492	103159894	5494106	148235	0.8079488	0.0053459923
SRR1353376	SRS629569	108600146	108600146	1	103617974	7808953833	152	GTEX-1497J-0726-SM-5Q5D1	6.3	Liver	Liver	0.882174	0.9031078	0.80486935	23954	49.672718	28629157	86261379	0.11744138	12645764	95516146	13084000	139737	0.72688377	0.132394
SRR1475930	SRS648667	108100352	108100352	1	105910420	8003572773	152	GTEX-ZGAY-0006-SM-4WWAQ	8.1	Blood	Whole Blood	0.91321015	0.931591	0.7965865	23614	70.10984	54391770	92604130	0.08655055	7658901	99404282	8696070	134688	0.7420928	0.077048
SRR1394713	SRS637294	107831582	107831582	1	106256302	8026980114	152	GTEX-145MG-0011-R7b-SM-5P9JY	6.8	Brain	Brain - Putamen (basal ganglia)	0.956555	0.93331224	0.89581865	24830	43.161823	24758983	97353029	0.043315694	11489864	104309178	3522404	142978	0.8360785	0.110152
SRR657516	SRS389531	107738686	107738686	1	99153980	7452324103	152	GTEX-SIU7-1726-SM-2XCDZ	7.1	Skin	Skin - Sun Exposed (Lower leg)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1499040	SRS650104	107412170	107412170	1	104366081	7869060656	152	GTEX-14753-1626-SM-5NQ9L	6.6	Liver	Liver	0.9858287	0.92331874	0.9235606	21776	63.713066	30080393	88265604	0.013622974	1901882	95596026	11816144	129816	0.8527408	0.019894991
SRR1091008	SRS525239	106987466	106987466	1	104739024	7901900230	152	GTEX-VUSG-1026-SM-4KKZN	5.7	Esophagus	Esophagus - Gastroesophageal Junction	0.97263074	0.935961	0.82828206	26005	64.01221	72762184	92265825	0.027210021	1913905	98578704	8408762	146428	0.7752397	0.019414995
SRR1454761	SRS645828	106206476	106206476	1	104170719	7872750029	152	GTEX-Y111-0426-SM-4TT3K	7.7	Blood Vessel	Artery - Tibial	0.9805572	0.9477819	0.9016863	24359	71.17804	76959371	93147073	0.0190755	760876	98279014	7927462	142163	0.854602	0.0077419984
SRR1409282	SRS638373	106148088	106148088	1	104528647	7895059452	152	GTEX-13O3Q-0011-R4a-SM-5P9H2	6.7	Brain	Brain - Amygdala	0.9559713	0.9320553	0.8976103	25585	60.20285	43301389	95788808	0.043762922	9501952	102771590	3376498	145741	0.8366225	0.09245699
SRR662031	SRS389801	105580150	105580150	1	95858631	7116214329	152	GTEX-T5JC-0826-SM-32PMC	7.2	Lung	Lung	0.97643226	0.8280143	0.8136283	25833	54.35757	63919832	80188560	0.02332491	874214	96844412	8735738	146859	0.67369586	0.009026994
SRR821124	SRS408893	105311144	105311144	1	102631238	7747094203	152	GTEX-WH7G-2626-SM-3NMBE	6.8	Nerve	Nerve - Tibial	0.97507674	0.9363004	0.8576694	25973	62.2299	58587954	88466990	0.02469295	723004	94485698	10825446	147032	0.80303615	0.007651994
SRR1404401	SRS638089	105130476	105130476	1	102630565	7725184801	152	GTEX-ZC5H-0005-SM-4WAXM	8.8	Blood	Whole Blood	0.9582206	0.938656	0.936688	18239	48.820835	7550144	89855973	0.041736513	4875922	95728340	9402136	111465	0.8792278	0.050934993
SRR1325483	SRS626190	104111798	104111798	1	101397390	7639545320	152	GTEX-13OW6-1826-SM-5N9F9	5.7	Kidney	Kidney - Cortex	0.9528831	0.908617	0.87817705	25026	36.23127	21026154	89661601	0.04699663	7650696	98679198	5432600	143740	0.7979266	0.07753099
SRR1375394	SRS634082	103678762	103678762	1	99744434	7530773369	152	GTEX-ZPU1-1526-SM-4YCFF	7.7	Esophagus	Esophagus - Gastroesophageal Junction	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1335188	SRS627432	103167842	103167842	1	101271749	7651467044	152	GTEX-P78B-0626-SM-5S2W4	6.8	Nerve	Nerve - Tibial	0.9720163	0.950274	0.81549275	26330	67.943924	109149911	89988909	0.027758231	917243	94697856	8469986	147310	0.77494156	0.009685995
SRR808862	SRS408192	102921142	102921142	1	99049317	7456841414	152	GTEX-OOBK-3125-SM-3LK5R	8	Adrenal Gland	Adrenal Gland	0.9794231	0.93148166	0.89714533	25340	58.27621	39850081	87584877	0.020323383	2080076	94027492	8893650	146585	0.83567446	0.022122
SRR1380886	SRS634803	102876752	102876752	1	101109242	7632951560	152	GTEX-YB5E-0526-SM-4VDSD	6.4	Pancreas	Pancreas	0.9732364	0.89630264	0.8744907	24542	51.469456	33345325	86623963	0.026639696	1333713	96645882	6230870	143137	0.78380835	0.013799999
SRR1453591	SRS645773	102593200	102593200	1	100472171	7595077252	152	GTEX-Y114-1226-SM-4TT88	8.3	Stomach	Stomach	0.93188435	0.9322748	0.8197514	25402	62.86783	73225082	87736073	0.067866236	6331227	94109662	8483538	145656	0.7642336	0.067274995
SRR615407	SRS374840	102587568	102587568	1	59996609	3866470791	152	GTEX-RVPU-0005-SM-2TF6L	7.7	Blood	Whole Blood	0.9157142	0.40797362	0.8207729	18181	18.985273	7689380	31189309	0.08421425	3564984	76449324	26138244	110090	0.33485368	0.046631984
SRR1443092	SRS644537	102516402	102516402	1	100456252	7575271954	152	GTEX-11OF3-1326-SM-5N9FJ	5.7	Kidney	Kidney - Cortex	0.9785672	0.9227761	0.928917	24453	44.525715	21697800	89968167	0.021313861	5389162	97497290	5019112	141701	0.8571824	0.055274993
SRR657372	SRS389520	102512152	102512152	1	90208112	6774275970	152	GTEX-S4Z8-0326-SM-3K2AU	8.7	Thyroid	Thyroid	0.9727559	0.7875253	0.838714	25329	48.094925	88034956	60174176	0.026991297	482600	76409198	26102954	145606	0.66050845	0.006315993
SRR1456250	SRS645897	102212602	102212602	1	98620078	7432934894	152	GTEX-13X6I-2726-SM-5Q5ET	5.7	Colon	Colon - Sigmoid	0.9798531	0.9375143	0.8361805	25761	56.96152	66067967	84205366	0.01999008	587228	89817686	12394916	146018	0.7839312	0.0065379995
SRR1075825	SRS524506	101623790	101623790	1	99464282	7519860216	152	GTEX-XPT6-2126-SM-4B66P	8.2	Nerve	Nerve - Tibial	0.9691249	0.9424074	0.81724185	26672	68.94656	114502690	87414354	0.030612983	1048704	92756432	8867358	148661	0.7701748	0.011305998
SRR1331311	SRS627092	101506342	101506342	1	97030053	7321811938	152	GTEX-ZV68-0006-SM-4YCEJ	9.2	Blood	Whole Blood	0.97346216	0.92530984	0.8628457	22148	59.812786	31853685	81420074	0.026378151	1815367	87992222	13514120	130426	0.7983996	0.020630993
SRR1313664	SRS624502	100479684	100479684	1	97583746	7359500892	152	GTEX-131XF-1326-SM-5GCMQ	7.4	Small Intestine	Small Intestine - Terminal Ileum	0.9761107	0.9321583	0.8580561	26197	61.881084	65274780	85830246	0.023562754	955850	92076906	8402778	147489	0.7998441	0.010380996
SRR1454671	SRS645824	100257244	100257244	1	97065959	7336326447	152	GTEX-ZV68-0008-SM-4YCCV	10	Skin	Cells - Transformed fibroblasts	0.9852811	0.94821095	0.93186915	22771	81.386765	70629313	83172987	0.0144608375	806984	87715698	12541546	135017	0.8836085	0.009199996
SRR1433708	SRS644031	98931398	98931398	1	97271746	7346194339	152	GTEX-11TTK-2426-SM-5PNYO	5.8	Colon	Colon - Transverse	0.9797991	0.9342259	0.8921542	25442	67.05489	61133268	89662632	0.019947473	1143929	95975318	2956080	145694	0.8334736	0.011918991
SRR1498997	SRS650102	98828144	98828144	1	95555434	7209279295	152	GTEX-1269C-2426-SM-5FQSN	7.2	Breast	Breast - Mammary Tissue	0.9761357	0.93587756	0.7919038	27109	57.57671	104886287	81423705	0.02347949	657565	87002520	11825624	150506	0.741125	0.0075579993
SRR1454460	SRS645814	98581262	98581262	1	96701135	7307994874	152	GTEX-13PL7-2326-SM-5L3FY	6.7	Ovary	Ovary	0.97027826	0.9505111	0.8046447	26046	65.312004	103386543	86833158	0.029525874	935832	91354178	7227084	146012	0.76482373	0.010243998
SRR1415637	SRS639283	98346850	98346850	1	92807454	6996721154	152	GTEX-ZV7C-0826-SM-59HK8	8.1	Adipose Tissue	Adipose - Visceral (Omentum)	0.9809477	0.89056605	0.89067197	24476	50.583324	50337125	74091922	0.01881027	2735665	83196432	15150418	142644	0.7932022	0.032881998
